No,Year,Month,Day,Minutes,Seconds,Largest Magnitude
692,2023,2,10,3,40.1,4.5
693,2023,2,10,2,51.3,3.6
694,2023,2,10,50,59.2,4.4
695,2023,2,10,17,1.3,3.6
696,2023,2,10,1,27.1,4.0
697,2023,2,9,48,29.9,3.8
698,2023,2,9,38,18.9,3.9
699,2023,2,9,48,41.6,3.6
700,2023,2,9,21,30.6,3.6
701,2023,2,9,6,38.6,4.2
702,2023,2,9,0,21.8,3.8
703,2023,2,9,46,30.5,4.2
704,2023,2,9,3,47.3,3.9
705,2023,2,9,58,30.5,3.9
706,2023,2,9,37,45.1,3.6
707,2023,2,9,49,40.3,4.0
708,2023,2,9,49,37.5,4.1
709,2023,2,9,36,9.7,3.6
710,2023,2,9,18,10.5,3.6
711,2023,2,9,51,49.8,4.0
712,2023,2,9,50,31.6,3.9
713,2023,2,9,37,27.6,4.0
714,2023,2,9,18,49.8,3.8
715,2023,2,9,37,35.4,3.5
716,2023,2,9,18,59.8,3.7
717,2023,2,9,17,44.2,3.9
718,2023,2,9,30,37.7,3.7
719,2023,2,9,27,50.0,4.2
720,2023,2,9,18,57.1,3.8
721,2023,2,9,35,5.1,3.7
722,2023,2,9,32,48.0,3.6
723,2023,2,9,23,45.3,3.8
724,2023,2,9,22,3.4,3.9
725,2023,2,9,48,29.4,4.2
726,2023,2,9,3,51.6,3.9
727,2023,2,9,42,23.9,4.4
